step h2o_in-box h2o_in-solv cd_in-box cd_in-solv
0 1330 1670 17 8
5000 1364 1636 18 7
10000 1395 1605 19 6
15000 1405 1595 19 6
20000 1411 1589 19 6
25000 1427 1573 19 6
30000 1418 1582 19 6
35000 1426 1574 19 6
40000 1416 1584 19 6
45000 1437 1563 19 6
50000 1435 1565 19 6
55000 1426 1574 19 6
60000 1430 1570 19 6
65000 1438 1562 19 6
70000 1439 1561 19 6
75000 1457 1543 19 6
80000 1456 1544 19 6
85000 1468 1532 19 6
90000 1469 1531 19 6
95000 1470 1530 19 6
100000 1462 1538 19 6
105000 1481 1519 19 6
110000 1486 1514 19 6
115000 1483 1517 19 6
120000 1483 1517 19 6
125000 1484 1516 19 6
130000 1494 1506 19 6
135000 1486 1514 19 6
140000 1493 1507 19 6
145000 1492 1508 19 6
150000 1494 1506 19 6
155000 1509 1491 19 6
160000 1505 1495 19 6
165000 1511 1489 19 6
170000 1520 1480 19 6
175000 1519 1481 19 6
180000 1522 1478 19 6
185000 1527 1473 19 6
190000 1531 1469 19 6
195000 1534 1466 19 6
200000 1534 1466 19 6
205000 1549 1451 19 6
210000 1554 1446 20 5
215000 1543 1457 19 6
220000 1558 1442 19 6
225000 1562 1438 19 6
230000 1565 1435 19 6
235000 1562 1438 19 6
240000 1554 1446 19 6
245000 1573 1427 19 6
250000 1571 1429 20 5
255000 1558 1442 19 6
260000 1567 1433 19 6
265000 1557 1443 19 6
270000 1572 1428 19 6
275000 1583 1417 19 6
280000 1577 1423 19 6
285000 1579 1421 19 6
290000 1567 1433 19 6
295000 1582 1418 19 6
300000 1577 1423 19 6
305000 1569 1431 19 6
310000 1580 1420 19 6
315000 1575 1425 19 6
320000 1576 1424 19 6
325000 1580 1420 19 6
330000 1589 1411 19 6
335000 1588 1412 19 6
340000 1591 1409 19 6
345000 1599 1401 19 6
350000 1598 1402 19 6
355000 1604 1396 19 6
360000 1625 1375 19 6
365000 1612 1388 19 6
370000 1609 1391 19 6
375000 1609 1391 19 6
380000 1611 1389 19 6
385000 1626 1374 19 6
390000 1628 1372 19 6
395000 1630 1370 19 6
400000 1637 1363 19 6
