step h2o_in-box h2o_in-solv cd_in-box cd_in-solv
0 1191 1809 62 38
5000 1200 1800 65 35
10000 1208 1792 65 35
15000 1187 1813 64 36
20000 1201 1799 65 35
25000 1210 1790 65 35
30000 1203 1797 65 35
35000 1199 1801 65 35
40000 1197 1803 65 35
45000 1203 1797 64 36
50000 1205 1795 65 35
55000 1197 1803 65 35
60000 1209 1791 65 35
65000 1206 1794 65 35
70000 1204 1796 65 35
75000 1206 1794 65 35
80000 1202 1798 66 34
85000 1195 1805 65 35
90000 1197 1803 66 34
95000 1196 1804 65 35
100000 1194 1806 64 36
105000 1196 1804 66 34
110000 1195 1805 66 34
115000 1206 1794 65 35
120000 1205 1795 65 35
125000 1198 1802 66 34
130000 1210 1790 66 34
135000 1201 1799 66 34
140000 1204 1796 66 34
145000 1204 1796 66 34
150000 1204 1796 66 34
155000 1209 1791 66 34
160000 1199 1801 66 34
165000 1201 1799 66 34
170000 1196 1804 65 35
175000 1199 1801 66 34
180000 1215 1785 66 34
185000 1205 1795 66 34
190000 1209 1791 66 34
195000 1212 1788 66 34
200000 1217 1783 66 34
205000 1215 1785 65 35
210000 1220 1780 64 36
215000 1210 1790 65 35
220000 1209 1791 66 34
225000 1218 1782 66 34
230000 1205 1795 66 34
235000 1214 1786 66 34
240000 1219 1781 66 34
245000 1217 1783 66 34
250000 1214 1786 66 34
255000 1213 1787 66 34
260000 1216 1784 66 34
265000 1206 1794 66 34
270000 1201 1799 66 34
275000 1199 1801 66 34
280000 1208 1792 66 34
285000 1200 1800 65 35
290000 1201 1799 66 34
295000 1207 1793 66 34
300000 1203 1797 66 34
305000 1202 1798 66 34
310000 1207 1793 66 34
315000 1202 1798 65 35
320000 1202 1798 65 35
325000 1206 1794 65 35
330000 1203 1797 65 35
335000 1218 1782 66 34
340000 1206 1794 65 35
345000 1212 1788 65 35
350000 1215 1785 65 35
355000 1211 1789 65 35
360000 1222 1778 65 35
365000 1207 1793 65 35
370000 1213 1787 66 34
375000 1207 1793 66 34
380000 1203 1797 66 34
385000 1208 1792 66 34
390000 1206 1794 66 34
395000 1205 1795 66 34
400000 1204 1796 66 34
405000 1220 1780 66 34
410000 1223 1777 67 33
415000 1224 1776 67 33
420000 1218 1782 67 33
425000 1226 1774 66 34
430000 1224 1776 67 33
435000 1219 1781 66 34
440000 1217 1783 67 33
445000 1221 1779 67 33
450000 1224 1776 66 34
455000 1216 1784 67 33
460000 1218 1782 67 33
465000 1217 1783 67 33
470000 1221 1779 66 34
475000 1216 1784 67 33
480000 1218 1782 67 33
485000 1219 1781 66 34
490000 1225 1775 67 33
495000 1224 1776 67 33
500000 1219 1781 67 33
505000 1223 1777 66 34
510000 1223 1777 67 33
515000 1232 1768 67 33
520000 1226 1774 67 33
525000 1230 1770 67 33
530000 1221 1779 66 34
535000 1231 1769 66 34
540000 1226 1774 66 34
545000 1229 1771 66 34
550000 1231 1769 66 34
555000 1236 1764 67 33
560000 1237 1763 67 33
565000 1236 1764 67 33
570000 1241 1759 67 33
575000 1245 1755 67 33
580000 1245 1755 67 33
585000 1243 1757 67 33
590000 1248 1752 67 33
595000 1242 1758 67 33
600000 1235 1765 66 34
605000 1242 1758 67 33
610000 1245 1755 67 33
615000 1244 1756 67 33
620000 1240 1760 67 33
625000 1237 1763 67 33
630000 1235 1765 67 33
635000 1238 1762 67 33
640000 1231 1769 66 34
645000 1227 1773 66 34
650000 1235 1765 67 33
655000 1233 1767 67 33
660000 1226 1774 67 33
665000 1220 1780 67 33
670000 1228 1772 67 33
675000 1228 1772 66 34
680000 1224 1776 67 33
685000 1220 1780 67 33
690000 1224 1776 67 33
695000 1225 1775 66 34
700000 1235 1765 66 34
705000 1236 1764 67 33
710000 1237 1763 67 33
715000 1232 1768 66 34
720000 1227 1773 67 33
725000 1235 1765 67 33
730000 1233 1767 67 33
735000 1236 1764 67 33
740000 1241 1759 67 33
745000 1245 1755 67 33
750000 1237 1763 67 33
755000 1234 1766 67 33
760000 1234 1766 67 33
765000 1244 1756 67 33
770000 1243 1757 67 33
775000 1247 1753 67 33
780000 1238 1762 67 33
785000 1242 1758 67 33
790000 1247 1753 67 33
795000 1238 1762 67 33
800000 1247 1753 67 33
805000 1245 1755 67 33
810000 1246 1754 67 33
815000 1249 1751 67 33
820000 1252 1748 67 33
825000 1244 1756 66 34
830000 1252 1748 67 33
835000 1245 1755 67 33
840000 1243 1757 67 33
845000 1245 1755 67 33
850000 1244 1756 67 33
855000 1248 1752 67 33
860000 1242 1758 67 33
865000 1241 1759 67 33
870000 1236 1764 67 33
875000 1240 1760 67 33
880000 1238 1762 67 33
885000 1234 1766 67 33
890000 1230 1770 66 34
895000 1232 1768 67 33
900000 1242 1758 67 33
905000 1238 1762 67 33
910000 1227 1773 66 34
915000 1237 1763 67 33
920000 1234 1766 67 33
925000 1230 1770 66 34
930000 1235 1765 66 34
935000 1234 1766 66 34
940000 1243 1757 66 34
945000 1234 1766 66 34
950000 1239 1761 66 34
955000 1233 1767 67 33
960000 1232 1768 66 34
965000 1235 1765 66 34
970000 1240 1760 66 34
975000 1239 1761 66 34
980000 1231 1769 66 34
985000 1226 1774 66 34
990000 1229 1771 66 34
995000 1222 1778 67 33
1000000 1224 1776 67 33
1005000 1229 1771 67 33
1010000 1225 1775 67 33
1015000 1223 1777 67 33
1020000 1229 1771 67 33
1025000 1232 1768 67 33
1030000 1232 1768 67 33
1035000 1227 1773 67 33
1040000 1222 1778 66 34
1045000 1229 1771 67 33
1050000 1226 1774 66 34
1055000 1232 1768 66 34
1060000 1235 1765 66 34
1065000 1234 1766 66 34
1070000 1226 1774 66 34
1075000 1235 1765 67 33
1080000 1231 1769 66 34
1085000 1237 1763 67 33
1090000 1234 1766 67 33
1095000 1233 1767 66 34
1100000 1235 1765 67 33
1105000 1239 1761 67 33
1110000 1238 1762 67 33
1115000 1243 1757 67 33
1120000 1231 1769 67 33
1125000 1232 1768 67 33
1130000 1237 1763 66 34
1135000 1227 1773 66 34
1140000 1227 1773 67 33
1145000 1239 1761 67 33
1150000 1226 1774 67 33
1155000 1232 1768 67 33
1160000 1234 1766 67 33
1165000 1237 1763 67 33
1170000 1235 1765 67 33
1175000 1230 1770 67 33
1180000 1239 1761 67 33
1185000 1234 1766 66 34
1190000 1234 1766 66 34
1195000 1241 1759 66 34
1200000 1237 1763 67 33
1205000 1232 1768 67 33
1210000 1231 1769 66 34
1215000 1237 1763 67 33
1220000 1238 1762 67 33
1225000 1228 1772 66 34
1230000 1234 1766 66 34
1235000 1241 1759 66 34
1240000 1237 1763 66 34
1245000 1232 1768 67 33
1250000 1232 1768 66 34
1255000 1230 1770 67 33
1260000 1235 1765 67 33
1265000 1236 1764 67 33
1270000 1228 1772 67 33
1275000 1233 1767 67 33
1280000 1228 1772 67 33
1285000 1228 1772 67 33
1290000 1229 1771 67 33
1295000 1227 1773 67 33
1300000 1230 1770 67 33
1305000 1233 1767 67 33
1310000 1226 1774 67 33
1315000 1223 1777 67 33
1320000 1226 1774 67 33
1325000 1229 1771 67 33
1330000 1231 1769 66 34
1335000 1229 1771 66 34
1340000 1225 1775 66 34
1345000 1229 1771 66 34
1350000 1226 1774 66 34
1355000 1220 1780 66 34
1360000 1227 1773 66 34
1365000 1230 1770 66 34
1370000 1226 1774 67 33
1375000 1227 1773 66 34
1380000 1230 1770 67 33
1385000 1224 1776 67 33
1390000 1228 1772 67 33
1395000 1229 1771 67 33
1400000 1223 1777 67 33
1405000 1231 1769 67 33
1410000 1225 1775 66 34
1415000 1224 1776 67 33
1420000 1230 1770 67 33
1425000 1229 1771 67 33
1430000 1225 1775 67 33
1435000 1226 1774 67 33
1440000 1227 1773 67 33
1445000 1219 1781 67 33
1450000 1227 1773 67 33
1455000 1224 1776 67 33
1460000 1225 1775 67 33
1465000 1226 1774 67 33
1470000 1224 1776 67 33
1475000 1227 1773 67 33
1480000 1236 1764 67 33
1485000 1228 1772 67 33
1490000 1227 1773 66 34
1495000 1228 1772 67 33
1500000 1231 1769 67 33
1505000 1236 1764 67 33
1510000 1227 1773 67 33
1515000 1231 1769 67 33
1520000 1228 1772 67 33
1525000 1234 1766 67 33
1530000 1230 1770 67 33
