step h2o_in-box h2o_in-solv cd_in-box cd_in-solv
0 832 2168 12 13
5000 843 2157 13 12
10000 860 2140 14 11
15000 859 2141 14 11
20000 861 2139 14 11
25000 874 2126 14 11
30000 879 2121 14 11
35000 876 2124 14 11
40000 876 2124 14 11
45000 893 2107 14 11
50000 891 2109 14 11
55000 887 2113 14 11
60000 898 2102 14 11
65000 897 2103 15 10
70000 891 2109 14 11
75000 895 2105 14 11
80000 895 2105 14 11
85000 893 2107 15 10
90000 895 2105 14 11
95000 895 2105 14 11
100000 895 2105 14 11
105000 893 2107 14 11
110000 892 2108 14 11
115000 898 2102 14 11
120000 904 2096 14 11
125000 905 2095 14 11
130000 907 2093 14 11
135000 898 2102 14 11
140000 900 2100 14 11
145000 898 2102 14 11
150000 905 2095 14 11
155000 900 2100 14 11
160000 915 2085 14 11
165000 905 2095 14 11
170000 915 2085 14 11
175000 903 2097 14 11
180000 910 2090 14 11
185000 904 2096 14 11
190000 902 2098 14 11
195000 910 2090 14 11
200000 905 2095 14 11
205000 912 2088 14 11
210000 911 2089 14 11
215000 917 2083 14 11
220000 913 2087 14 11
225000 916 2084 14 11
230000 929 2071 14 11
235000 921 2079 14 11
240000 909 2091 14 11
245000 915 2085 14 11
250000 924 2076 14 11
255000 909 2091 14 11
260000 929 2071 14 11
265000 922 2078 14 11
270000 930 2070 14 11
275000 921 2079 14 11
280000 927 2073 14 11
285000 929 2071 14 11
290000 932 2068 14 11
295000 936 2064 14 11
300000 949 2051 14 11
305000 957 2043 14 11
310000 950 2050 14 11
315000 944 2056 14 11
320000 950 2050 14 11
325000 947 2053 14 11
330000 947 2053 14 11
335000 947 2053 14 11
340000 945 2055 14 11
345000 941 2059 14 11
350000 951 2049 14 11
355000 954 2046 14 11
360000 949 2051 14 11
365000 959 2041 14 11
370000 957 2043 14 11
375000 954 2046 14 11
380000 957 2043 14 11
385000 969 2031 14 11
390000 960 2040 14 11
395000 949 2051 14 11
400000 952 2048 14 11
405000 961 2039 14 11
410000 963 2037 14 11
415000 964 2036 14 11
420000 967 2033 14 11
425000 965 2035 14 11
430000 966 2034 14 11
435000 968 2032 14 11
440000 968 2032 14 11
445000 966 2034 14 11
450000 962 2038 14 11
455000 966 2034 14 11
460000 965 2035 14 11
465000 971 2029 14 11
470000 960 2040 14 11
475000 970 2030 14 11
480000 963 2037 14 11
485000 962 2038 14 11
490000 971 2029 14 11
495000 965 2035 14 11
500000 976 2024 14 11
505000 975 2025 14 11
510000 980 2020 14 11
515000 971 2029 14 11
520000 973 2027 14 11
525000 964 2036 14 11
530000 971 2029 14 11
535000 975 2025 14 11
540000 971 2029 14 11
545000 972 2028 14 11
550000 971 2029 15 10
555000 977 2023 15 10
560000 972 2028 15 10
565000 982 2018 15 10
570000 984 2016 15 10
575000 985 2015 15 10
580000 980 2020 15 10
585000 974 2026 15 10
590000 985 2015 15 10
595000 974 2026 15 10
600000 981 2019 15 10
605000 984 2016 15 10
610000 967 2033 15 10
615000 981 2019 15 10
620000 977 2023 15 10
625000 979 2021 15 10
630000 974 2026 15 10
635000 975 2025 15 10
640000 977 2023 15 10
645000 984 2016 15 10
650000 983 2017 15 10
655000 981 2019 15 10
660000 977 2023 15 10
665000 986 2014 15 10
670000 983 2017 15 10
675000 991 2009 15 10
680000 982 2018 15 10
685000 982 2018 15 10
690000 982 2018 15 10
695000 981 2019 15 10
700000 985 2015 15 10
705000 981 2019 15 10
710000 976 2024 15 10
715000 984 2016 15 10
720000 982 2018 15 10
725000 987 2013 15 10
730000 986 2014 15 10
735000 987 2013 15 10
740000 976 2024 15 10
745000 984 2016 15 10
750000 982 2018 15 10
755000 988 2012 15 10
760000 990 2010 15 10
765000 984 2016 15 10
770000 984 2016 15 10
775000 990 2010 15 10
780000 994 2006 15 10
785000 985 2015 15 10
790000 990 2010 15 10
795000 989 2011 15 10
800000 990 2010 15 10
805000 987 2013 15 10
810000 984 2016 15 10
815000 985 2015 15 10
820000 990 2010 15 10
825000 984 2016 15 10
830000 988 2012 15 10
835000 995 2005 15 10
840000 991 2009 15 10
845000 993 2007 15 10
850000 996 2004 15 10
855000 997 2003 15 10
860000 988 2012 15 10
865000 991 2009 15 10
870000 996 2004 15 10
875000 995 2005 15 10
880000 984 2016 15 10
885000 996 2004 15 10
890000 992 2008 15 10
895000 982 2018 15 10
900000 1001 1999 15 10
905000 996 2004 15 10
910000 1001 1999 15 10
915000 1003 1997 15 10
920000 989 2011 15 10
925000 995 2005 15 10
930000 991 2009 15 10
935000 999 2001 15 10
940000 995 2005 15 10
945000 990 2010 15 10
950000 989 2011 15 10
955000 982 2018 15 10
960000 981 2019 15 10
965000 986 2014 15 10
970000 985 2015 15 10
975000 988 2012 15 10
980000 980 2020 15 10
985000 991 2009 15 10
990000 979 2021 15 10
995000 982 2018 15 10
1000000 996 2004 15 10
1005000 990 2010 15 10
1010000 984 2016 15 10
1015000 998 2002 15 10
1020000 995 2005 15 10
1025000 994 2006 15 10
1030000 996 2004 15 10
1035000 1003 1997 15 10
1040000 999 2001 15 10
1045000 994 2006 15 10
1050000 1000 2000 15 10
1055000 1011 1989 15 10
1060000 1004 1996 15 10
1065000 999 2001 15 10
1070000 994 2006 15 10
1075000 1001 1999 15 10
1080000 995 2005 15 10
1085000 1003 1997 15 10
1090000 1003 1997 15 10
1095000 1004 1996 15 10
1100000 999 2001 15 10
1105000 998 2002 15 10
1110000 1012 1988 15 10
1115000 1002 1998 15 10
1120000 1007 1993 15 10
1125000 1011 1989 15 10
1130000 1014 1986 15 10
1135000 1000 2000 15 10
1140000 1013 1987 15 10
1145000 1010 1990 15 10
1150000 1014 1986 15 10
1155000 1012 1988 15 10
1160000 1012 1988 15 10
1165000 1002 1998 15 10
1170000 998 2002 15 10
1175000 1010 1990 15 10
1180000 1008 1992 15 10
1185000 1004 1996 15 10
1190000 1019 1981 15 10
1195000 1006 1994 15 10
1200000 997 2003 15 10
1205000 1003 1997 15 10
1210000 1012 1988 15 10
1215000 1004 1996 15 10
1220000 1002 1998 15 10
1225000 1011 1989 15 10
1230000 1007 1993 15 10
1235000 1001 1999 15 10
1240000 1012 1988 15 10
1245000 1013 1987 15 10
1250000 1015 1985 15 10
1255000 1007 1993 15 10
1260000 1009 1991 15 10
1265000 1006 1994 15 10
1270000 1007 1993 15 10
1275000 1014 1986 15 10
1280000 1023 1977 15 10
1285000 1010 1990 15 10
1290000 1017 1983 15 10
1295000 1011 1989 15 10
1300000 1008 1992 15 10
1305000 1018 1982 15 10
1310000 1012 1988 15 10
1315000 1020 1980 15 10
1320000 1010 1990 15 10
1325000 1009 1991 15 10
1330000 1021 1979 15 10
1335000 1016 1984 15 10
1340000 1017 1983 15 10
1345000 1019 1981 15 10
1350000 1024 1976 15 10
1355000 1022 1978 15 10
1360000 1019 1981 15 10
1365000 1019 1981 15 10
1370000 1003 1997 15 10
1375000 1016 1984 15 10
1380000 1021 1979 15 10
1385000 1021 1979 15 10
1390000 1019 1981 15 10
1395000 1018 1982 15 10
1400000 1027 1973 15 10
1405000 1021 1979 15 10
1410000 1014 1986 15 10
1415000 1016 1984 15 10
1420000 1021 1979 15 10
1425000 1036 1964 15 10
1430000 1028 1972 15 10
1435000 1024 1976 15 10
1440000 1025 1975 15 10
1445000 1019 1981 15 10
1450000 1022 1978 15 10
1455000 1022 1978 15 10
1460000 1020 1980 15 10
1465000 1011 1989 15 10
1470000 1021 1979 15 10
1475000 1012 1988 15 10
1480000 1019 1981 15 10
1485000 1017 1983 15 10
1490000 1012 1988 15 10
1495000 1022 1978 15 10
1500000 1016 1984 15 10
1505000 1028 1972 15 10
1510000 1023 1977 15 10
1515000 1016 1984 15 10
1520000 1021 1979 15 10
1525000 1010 1990 15 10
1530000 1023 1977 15 10
1535000 1021 1979 15 10
1540000 1019 1981 15 10
1545000 1020 1980 15 10
1550000 1014 1986 15 10
1555000 1023 1977 15 10
1560000 1019 1981 15 10
1565000 1017 1983 15 10
1570000 1016 1984 15 10
1575000 1021 1979 15 10
1580000 1020 1980 15 10
1585000 1020 1980 16 9
1590000 1017 1983 16 9
1595000 1028 1972 16 9
1600000 1019 1981 16 9
1605000 1014 1986 16 9
1610000 1025 1975 16 9
1615000 1015 1985 16 9
1620000 1015 1985 16 9
1625000 1027 1973 16 9
1630000 1031 1969 16 9
1635000 1024 1976 16 9
1640000 1018 1982 16 9
1645000 1027 1973 16 9
1650000 1023 1977 16 9
1655000 1031 1969 16 9
1660000 1021 1979 16 9
1665000 1025 1975 16 9
1670000 1022 1978 16 9
1675000 1032 1968 16 9
1680000 1028 1972 16 9
1685000 1036 1964 16 9
1690000 1024 1976 16 9
1695000 1024 1976 16 9
1700000 1012 1988 16 9
1705000 1017 1983 16 9
1710000 1022 1978 16 9
1715000 1025 1975 16 9
1720000 1018 1982 16 9
1725000 1016 1984 16 9
1730000 1017 1983 16 9
1735000 1018 1982 16 9
1740000 1006 1994 16 9
1745000 1014 1986 16 9
1750000 1014 1986 16 9
1755000 1021 1979 16 9
1760000 1027 1973 16 9
1765000 1015 1985 16 9
1770000 1016 1984 16 9
1775000 1020 1980 16 9
1780000 1013 1987 16 9
1785000 1020 1980 16 9
1790000 1018 1982 16 9
1795000 1023 1977 16 9
1800000 1023 1977 16 9
1805000 1021 1979 16 9
1810000 1021 1979 16 9
1815000 1024 1976 16 9
1820000 1027 1973 16 9
1825000 1030 1970 16 9
1830000 1021 1979 16 9
1835000 1021 1979 16 9
1840000 1030 1970 16 9
1845000 1021 1979 16 9
1850000 1032 1968 16 9
1855000 1031 1969 16 9
1860000 1019 1981 16 9
1865000 1026 1974 16 9
1870000 1028 1972 16 9
1875000 1028 1972 16 9
1880000 1026 1974 16 9
1885000 1031 1969 16 9
1890000 1024 1976 16 9
1895000 1028 1972 16 9
1900000 1034 1966 16 9
1905000 1033 1967 16 9
1910000 1026 1974 16 9
1915000 1021 1979 16 9
1920000 1030 1970 16 9
1925000 1040 1960 16 9
1930000 1040 1960 16 9
1935000 1029 1971 16 9
1940000 1035 1965 16 9
1945000 1032 1968 16 9
1950000 1033 1967 16 9
1955000 1043 1957 16 9
1960000 1031 1969 16 9
1965000 1042 1958 16 9
1970000 1033 1967 16 9
1975000 1033 1967 16 9
1980000 1028 1972 16 9
1985000 1033 1967 16 9
1990000 1036 1964 16 9
1995000 1028 1972 16 9
2000000 1034 1966 16 9
2005000 1034 1966 16 9
2010000 1039 1961 16 9
2015000 1030 1970 16 9
2020000 1036 1964 16 9
2025000 1038 1962 16 9
2030000 1027 1973 16 9
2035000 1035 1965 16 9
2040000 1034 1966 16 9
2045000 1040 1960 16 9
2050000 1040 1960 16 9
2055000 1028 1972 16 9
2060000 1038 1962 16 9
2065000 1036 1964 16 9
2070000 1037 1963 16 9
2075000 1038 1962 16 9
2080000 1040 1960 16 9
2085000 1037 1963 16 9
